customer_id,age,gender,income_band,income_num,n_dependents,has_mortgage,owns_car,credit_score,tenure_years,region,channel,existing_products_count,product,avg_premium,min_age,max_age,risk_category,risk_num,requires_car,requires_home,popularity_score,eligible,purchase_proba,purchased,relevance
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Life,450,18,65,High,2,0,0,0.72,1,0.6145,1,2
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Health,320,18,70,Med,1,0,0,0.85,1,0.4837,0,1
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Auto,280,18,70,Med,1,1,0,0.78,0,0.5823,1,2
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Home,510,21,70,Med,1,0,1,0.65,1,0.7597,1,3
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Travel,95,18,60,Low,0,0,0,0.55,1,0.6496,1,2
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Critical_Illness,600,25,60,High,2,0,0,0.4,1,0.4548,0,1
1,56,F,Low,0,4,1,0,755,12,South,Online,1,Disability,380,25,60,Med,1,0,0,0.38,1,0.483,0,1
2,69,F,High,2,4,0,0,436,10,South,Online,1,Disability,380,25,60,Med,1,0,0,0.38,0,0.5798,1,2
2,69,F,High,2,4,0,0,436,10,South,Online,1,Critical_Illness,600,25,60,High,2,0,0,0.4,0,0.544,0,2
2,69,F,High,2,4,0,0,436,10,South,Online,1,Home,510,21,70,Med,1,0,1,0.65,0,0.3537,0,1
2,69,F,High,2,4,0,0,436,10,South,Online,1,Travel,95,18,60,Low,0,0,0,0.55,0,0.3147,0,1
2,69,F,High,2,4,0,0,436,10,South,Online,1,Health,320,18,70,Med,1,0,0,0.85,1,0.5766,1,2
2,69,F,High,2,4,0,0,436,10,South,Online,1,Life,450,18,65,High,2,0,0,0.72,0,0.2196,0,0
2,69,F,High,2,4,0,0,436,10,South,Online,1,Auto,280,18,70,Med,1,1,0,0.78,0,0.5825,1,2
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Life,450,18,65,High,2,0,0,0.72,1,0.6817,1,2
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Health,320,18,70,Med,1,0,0,0.85,1,0.7634,1,3
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Auto,280,18,70,Med,1,1,0,0.78,1,0.6301,1,2
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Home,510,21,70,Med,1,0,1,0.65,1,0.68,1,2
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Travel,95,18,60,Low,0,0,0,0.55,1,0.4847,0,1
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Critical_Illness,600,25,60,High,2,0,0,0.4,1,0.7187,1,3
3,46,M,High,2,3,1,1,635,0,West,Agent,1,Disability,380,25,60,Med,1,0,0,0.38,1,0.6553,1,2
4,32,M,Mid,1,0,1,1,768,1,West,Agent,2,Critical_Illness,600,25,60,High,2,0,0,0.4,1,0.5395,0,2
4,32,M,Mid,1,0,1,1,768,1,West,Agent,2,Disability,380,25,60,Med,1,0,0,0.38,1,0.5992,1,2
