user ID,purchase ID,bought at,SKU,product,number of purchases,condition,global ratings,shares on social media,reviews
1642,7000,2022-03-17T03:44:18.820900,1,Laptop,2,refurbished,4,4,55
1135,7001,2022-03-17T03:44:18.821133,2,TV,2,used,1,2,40
1475,7002,2022-03-17T03:44:18.821141,3,Smartphone,3,new,2,2,89
1736,7003,2022-03-17T03:44:18.821149,4,TV,2,refurbished,4,4,71
205,7004,2022-03-17T03:44:18.821155,5,Smartphone,1,like new,3,2,20
619,7005,2022-03-17T03:44:18.821161,6,Speakers,1,used,2,0,48
916,7006,2022-03-17T03:44:18.821167,7,Smartphone,3,new,4,2,87
1265,7007,2022-03-17T03:44:18.821173,8,TV,2,refurbished,4,4,36
1451,7008,2022-03-17T03:44:18.821178,9,Smartphone,3,like new,2,2,7
641,7009,2022-03-17T03:44:18.821184,10,Camera,1,slightly damaged,0,0,24
1854,7010,2022-03-17T03:44:18.821190,11,TV,3,like new,3,2,23
1644,7011,2022-03-17T03:44:18.821195,12,TV,2,refurbished,4,4,75
73,7012,2022-03-17T03:44:18.821201,13,Smartphone,1,slightly damaged,2,2,28
870,7013,2022-03-17T03:44:18.821207,14,Speakers,1,refurbished,4,4,62
1345,7014,2022-03-17T03:44:18.821212,15,Laptop,1,new,2,2,86
1774,7015,2022-03-17T03:44:18.821218,16,Laptop,1,like new,1,2,23
1591,7016,2022-03-17T03:44:18.821224,17,Camera,1,new,4,2,90
1849,7017,2022-03-17T03:44:18.821229,18,TV,2,slightly damaged,0,2,17
227,7018,2022-03-17T03:44:18.821235,19,TV,2,new,4,2,83
1602,7019,2022-03-17T03:44:18.821240,20,Smartphone,2,refurbished,4,4,56
1539,7020,2022-03-17T03:44:18.821246,21,Smartphone,3,new,4,2,99
652,7021,2022-03-17T03:44:18.821251,22,TV,2,like new,1,2,1
666,7022,2022-03-17T03:44:18.821257,23,TV,3,used,0,0,50
1153,7023,2022-03-17T03:44:18.821262,24,Smartphone,3,refurbished,4,4,41
347,7024,2022-03-17T03:44:18.821268,25,Speakers,1,like new,1,2,18
769,7025,2022-03-17T03:44:18.821273,26,Smartphone,3,like new,2,2,27
1010,7026,2022-03-17T03:44:18.821279,27,Speakers,1,refurbished,4,4,53
927,7027,2022-03-17T03:44:18.821284,28,Speakers,1,refurbished,4,4,67
1355,7028,2022-03-17T03:44:18.821290,29,Smartphone,1,like new,2,2,10
258,7029,2022-03-17T03:44:18.821296,30,Laptop,2,slightly damaged,0,2,11
1672,7030,2022-03-17T03:44:18.821301,31,Speakers,1,new,2,2,90
1667,7031,2022-03-17T03:44:18.821307,32,TV,3,new,2,2,86
194,7032,2022-03-17T03:44:18.821312,33,Laptop,2,refurbished,4,4,37
781,7033,2022-03-17T03:44:18.821318,34,Camera,1,slightly damaged,2,1,14
266,7034,2022-03-17T03:44:18.821323,35,Smartphone,3,new,4,2,81
884,7035,2022-03-17T03:44:18.821329,36,Camera,2,new,2,4,80
623,7036,2022-03-17T03:44:18.821335,37,TV,2,refurbished,4,4,66
730,7037,2022-03-17T03:44:18.821340,38,Speakers,1,refurbished,4,4,44
1854,7038,2022-03-17T03:44:18.821345,39,Speakers,1,like new,3,2,30
947,7039,2022-03-17T03:44:18.821351,40,Camera,1,refurbished,4,4,49
37,7040,2022-03-17T03:44:18.821356,41,Smartphone,1,slightly damaged,1,2,36
435,7041,2022-03-17T03:44:18.821362,42,Speakers,1,refurbished,4,4,75
780,7042,2022-03-17T03:44:18.821368,43,Camera,3,used,0,0,41
1084,7043,2022-03-17T03:44:18.821373,44,Speakers,1,used,1,2,30
944,7044,2022-03-17T03:44:18.821379,45,Laptop,1,used,0,2,50
975,7045,2022-03-17T03:44:18.821385,46,Smartphone,3,like new,1,2,24
302,7046,2022-03-17T03:44:18.821391,47,Smartphone,3,new,2,4,85
1690,7047,2022-03-17T03:44:18.821396,48,Smartphone,3,refurbished,4,4,54
890,7048,2022-03-17T03:44:18.821402,49,Laptop,1,like new,4,2,12
1757,7049,2022-03-17T03:44:18.821407,50,Smartphone,3,new,2,4,99
507,7050,2022-03-17T03:44:18.821413,51,Laptop,1,used,0,0,42
1260,7051,2022-03-17T03:44:18.821418,52,Speakers,1,refurbished,4,4,55
1136,7052,2022-03-17T03:44:18.821424,53,Speakers,2,slightly damaged,1,0,32
214,7053,2022-03-17T03:44:18.821429,54,TV,3,used,0,2,33
1807,7054,2022-03-17T03:44:18.821435,55,Laptop,2,refurbished,4,4,68
618,7055,2022-03-17T03:44:18.821441,56,Speakers,1,like new,4,2,2
1235,7056,2022-03-17T03:44:18.821447,57,Speakers,1,like new,2,2,14
1318,7057,2022-03-17T03:44:18.821452,58,Smartphone,1,used,0,2,47
1369,7058,2022-03-17T03:44:18.821458,59,Speakers,1,new,4,2,86
1026,7059,2022-03-17T03:44:18.821464,60,Speakers,3,slightly damaged,0,1,34
1340,7060,2022-03-17T03:44:18.821469,61,Smartphone,1,like new,4,2,21
1458,7061,2022-03-17T03:44:18.821474,62,Smartphone,3,new,2,4,87
154,7062,2022-03-17T03:44:18.821480,63,TV,3,like new,2,2,23
1613,7063,2022-03-17T03:44:18.821485,64,Laptop,2,slightly damaged,1,2,35
1158,7064,2022-03-17T03:44:18.821491,65,TV,2,slightly damaged,1,1,26
331,7065,2022-03-17T03:44:18.821496,66,TV,3,used,1,2,58
1219,7066,2022-03-17T03:44:18.821502,67,Laptop,1,like new,3,2,18
1823,7067,2022-03-17T03:44:18.821509,68,Laptop,2,refurbished,4,4,66
1659,7068,2022-03-17T03:44:18.821515,69,Smartphone,1,used,1,0,54
584,7069,2022-03-17T03:44:18.821520,70,Smartphone,2,refurbished,4,4,63
853,7070,2022-03-17T03:44:18.821526,71,Smartphone,1,used,2,2,51
1408,7071,2022-03-17T03:44:18.821531,72,Camera,2,refurbished,4,4,57
645,7072,2022-03-17T03:44:18.821537,73,TV,2,new,4,2,84
635,7073,2022-03-17T03:44:18.821543,74,Smartphone,3,new,2,4,89
298,7074,2022-03-17T03:44:18.821549,75,TV,2,refurbished,4,4,44
265,7075,2022-03-17T03:44:18.821554,76,Smartphone,2,refurbished,4,4,42
490,7076,2022-03-17T03:44:18.821560,77,Speakers,1,refurbished,4,4,70
35,7077,2022-03-17T03:44:18.821565,78,Speakers,1,used,0,0,41
1437,7078,2022-03-17T03:44:18.821571,79,Speakers,1,like new,1,2,17
1234,7079,2022-03-17T03:44:18.821577,80,TV,2,like new,3,2,28
1851,7080,2022-03-17T03:44:18.821583,81,TV,2,refurbished,4,4,74
526,7081,2022-03-17T03:44:18.821589,82,Smartphone,3,new,2,4,90
389,7082,2022-03-17T03:44:18.821594,83,TV,3,like new,4,2,26
1091,7083,2022-03-17T03:44:18.821600,84,Speakers,1,refurbished,4,4,55
313,7084,2022-03-17T03:44:18.821606,85,Camera,2,used,1,2,39
1221,7085,2022-03-17T03:44:18.821611,86,Camera,2,new,4,4,84
1074,7086,2022-03-17T03:44:18.821617,87,Speakers,1,refurbished,4,4,44
42,7087,2022-03-17T03:44:18.821623,88,TV,2,new,2,4,81
531,7088,2022-03-17T03:44:18.821628,89,TV,3,like new,1,2,6
1182,7089,2022-03-17T03:44:18.821634,90,Camera,1,slightly damaged,2,1,36
909,7090,2022-03-17T03:44:18.821639,91,TV,3,like new,1,2,15
505,7091,2022-03-17T03:44:18.821645,92,TV,3,new,4,2,99
1204,7092,2022-03-17T03:44:18.821650,93,Smartphone,1,like new,4,2,20
1409,7093,2022-03-17T03:44:18.821655,94,Smartphone,1,like new,1,2,20
1600,7094,2022-03-17T03:44:18.821661,95,Speakers,1,like new,3,2,10
269,7095,2022-03-17T03:44:18.821666,96,Speakers,1,refurbished,4,4,74
381,7096,2022-03-17T03:44:18.821672,97,Laptop,1,like new,3,2,23
691,7097,2022-03-17T03:44:18.821677,98,Smartphone,1,slightly damaged,1,2,23
135,7098,2022-03-17T03:44:18.821683,99,Laptop,1,used,1,2,34
347,7099,2022-03-17T03:44:18.821688,100,TV,3,like new,3,2,12
830,7100,2022-03-17T03:44:18.821693,101,Laptop,1,like new,1,2,28
1228,7101,2022-03-17T03:44:18.821699,102,Camera,2,slightly damaged,0,0,23
1482,7102,2022-03-17T03:44:18.821705,103,Smartphone,3,new,4,4,81
481,7103,2022-03-17T03:44:18.821710,104,Smartphone,3,refurbished,4,4,71
1403,7104,2022-03-17T03:44:18.821716,105,Speakers,2,slightly damaged,0,0,16
1270,7105,2022-03-17T03:44:18.821721,106,Speakers,1,like new,1,2,15
859,7106,2022-03-17T03:44:18.821727,107,Camera,2,new,4,2,93
762,7107,2022-03-17T03:44:18.821733,108,TV,3,used,0,0,51
1115,7108,2022-03-17T03:44:18.821738,109,Smartphone,1,used,0,0,51
108,7109,2022-03-17T03:44:18.821743,110,Camera,2,refurbished,4,4,41
1558,7110,2022-03-17T03:44:18.821749,111,Laptop,2,used,2,0,48
325,7111,2022-03-17T03:44:18.821754,112,TV,2,new,4,4,86
1197,7112,2022-03-17T03:44:18.821760,113,Laptop,2,used,2,0,32
1384,7113,2022-03-17T03:44:18.821765,114,Smartphone,1,used,2,0,46
53,7114,2022-03-17T03:44:18.821771,115,Speakers,1,used,2,2,60
652,7115,2022-03-17T03:44:18.821776,116,Speakers,1,used,0,2,60
1015,7116,2022-03-17T03:44:18.821782,117,Speakers,1,new,2,4,88
1445,7117,2022-03-17T03:44:18.821787,118,Speakers,1,used,2,0,49
1714,7118,2022-03-17T03:44:18.821793,119,Smartphone,3,new,2,2,80
885,7119,2022-03-17T03:44:18.821798,120,TV,2,used,2,0,36
1637,7120,2022-03-17T03:44:18.821804,121,TV,2,new,4,2,96
185,7121,2022-03-17T03:44:18.821809,122,Smartphone,1,slightly damaged,0,0,40
664,7122,2022-03-17T03:44:18.821814,123,Smartphone,2,refurbished,4,4,67
989,7123,2022-03-17T03:44:18.821820,124,Laptop,2,refurbished,4,4,41
1479,7124,2022-03-17T03:44:18.821825,125,Speakers,1,new,2,2,83
659,7125,2022-03-17T03:44:18.821831,126,Speakers,1,like new,3,2,1
543,7126,2022-03-17T03:44:18.821837,127,Camera,2,like new,2,2,2
1709,7127,2022-03-17T03:44:18.821843,128,Smartphone,1,used,2,0,34
109,7128,2022-03-17T03:44:18.821849,129,TV,3,new,2,2,89
484,7129,2022-03-17T03:44:18.821854,130,Laptop,1,new,4,4,90
69,7130,2022-03-17T03:44:18.821860,131,Smartphone,1,slightly damaged,1,2,30
424,7131,2022-03-17T03:44:18.821865,132,Camera,1,slightly damaged,2,2,15
1583,7132,2022-03-17T03:44:18.821871,133,Smartphone,1,used,0,0,49
1205,7133,2022-03-17T03:44:18.821876,134,Camera,2,new,2,4,92
1279,7134,2022-03-17T03:44:18.821882,135,Speakers,1,new,2,4,84
378,7135,2022-03-17T03:44:18.821887,136,Laptop,1,new,2,2,86
858,7136,2022-03-17T03:44:18.821893,137,Laptop,2,refurbished,4,4,39
847,7137,2022-03-17T03:44:18.821899,138,Smartphone,1,like new,1,2,9
1228,7138,2022-03-17T03:44:18.821904,139,Smartphone,3,like new,1,2,5
1742,7139,2022-03-17T03:44:18.821910,140,TV,3,like new,3,2,25
1589,7140,2022-03-17T03:44:18.821915,141,Laptop,2,refurbished,4,4,64
970,7141,2022-03-17T03:44:18.821921,142,Laptop,2,new,2,4,99
1041,7142,2022-03-17T03:44:18.821926,143,Laptop,1,like new,1,2,15
1389,7143,2022-03-17T03:44:18.821932,144,Speakers,1,new,2,4,92
1392,7144,2022-03-17T03:44:18.821937,145,Laptop,2,refurbished,4,4,58
1714,7145,2022-03-17T03:44:18.821943,146,Camera,2,refurbished,4,4,51
593,7146,2022-03-17T03:44:18.821949,147,Speakers,1,new,2,2,97
392,7147,2022-03-17T03:44:18.821954,148,Speakers,1,like new,3,2,15
976,7148,2022-03-17T03:44:18.821960,149,Laptop,2,used,0,0,45
749,7149,2022-03-17T03:44:18.821966,150,Laptop,2,refurbished,4,4,69
244,7150,2022-03-17T03:44:18.821971,151,TV,3,new,4,2,97
803,7151,2022-03-17T03:44:18.821977,152,Laptop,2,refurbished,4,4,44
1627,7152,2022-03-17T03:44:18.821982,153,Laptop,1,used,0,2,56
933,7153,2022-03-17T03:44:18.821988,154,TV,2,refurbished,4,4,57
1089,7154,2022-03-17T03:44:18.821994,155,TV,2,new,4,4,83
1101,7155,2022-03-17T03:44:18.821999,156,Camera,1,new,4,4,89
287,7156,2022-03-17T03:44:18.822005,157,Smartphone,1,slightly damaged,0,2,28
1161,7157,2022-03-17T03:44:18.822010,158,Speakers,1,new,2,4,86
1679,7158,2022-03-17T03:44:18.822016,159,Laptop,2,refurbished,4,4,57
547,7159,2022-03-17T03:44:18.822021,160,Speakers,3,slightly damaged,2,0,31
869,7160,2022-03-17T03:44:18.822027,161,TV,2,used,0,2,58
1444,7161,2022-03-17T03:44:18.822032,162,Camera,1,slightly damaged,1,1,21
600,7162,2022-03-17T03:44:18.822037,163,Laptop,2,slightly damaged,2,2,36
1537,7163,2022-03-17T03:44:18.822043,164,Camera,2,like new,2,2,4
292,7164,2022-03-17T03:44:18.822049,165,Speakers,1,refurbished,4,4,51
1204,7165,2022-03-17T03:44:18.822054,166,Smartphone,3,new,2,4,99
1777,7166,2022-03-17T03:44:18.822059,167,Camera,2,new,2,4,100
156,7167,2022-03-17T03:44:18.822065,168,Laptop,2,refurbished,4,4,53
1065,7168,2022-03-17T03:44:18.822070,169,TV,2,like new,2,2,5
1489,7169,2022-03-17T03:44:18.822076,170,Laptop,2,slightly damaged,1,1,27
1064,7170,2022-03-17T03:44:18.822081,171,Camera,3,used,2,0,47
1160,7171,2022-03-17T03:44:18.822086,172,Speakers,1,refurbished,4,4,35
273,7172,2022-03-17T03:44:18.822091,173,Smartphone,3,new,2,4,93
1403,7173,2022-03-17T03:44:18.822097,174,Camera,3,like new,2,2,25
739,7174,2022-03-17T03:44:18.822102,175,Camera,2,like new,2,2,19
219,7175,2022-03-17T03:44:18.822108,176,TV,3,new,4,2,80
644,7176,2022-03-17T03:44:18.822114,177,TV,3,used,0,2,30
261,7177,2022-03-17T03:44:18.822119,178,Laptop,2,refurbished,4,4,57
1309,7178,2022-03-17T03:44:18.822124,179,Speakers,3,slightly damaged,0,0,25
69,7179,2022-03-17T03:44:18.822130,180,Speakers,1,new,4,2,89
1736,7180,2022-03-17T03:44:18.822135,181,Speakers,1,refurbished,4,4,38
1160,7181,2022-03-17T03:44:18.822141,182,Speakers,1,used,0,0,52
405,7182,2022-03-17T03:44:18.822146,183,Camera,2,new,2,2,96
1604,7183,2022-03-17T03:44:18.822152,184,Speakers,1,refurbished,4,4,40
854,7184,2022-03-17T03:44:18.822157,185,Speakers,2,slightly damaged,2,2,38
484,7185,2022-03-17T03:44:18.822163,186,TV,3,new,2,4,100
346,7186,2022-03-17T03:44:18.822169,187,Speakers,1,new,4,2,92
1751,7187,2022-03-17T03:44:18.822174,188,TV,2,slightly damaged,2,0,20
36,7188,2022-03-17T03:44:18.822179,189,Camera,1,refurbished,4,4,57
1227,7189,2022-03-17T03:44:18.822185,190,Laptop,2,used,2,2,41
570,7190,2022-03-17T03:44:18.822190,191,Laptop,2,refurbished,4,4,46
1516,7191,2022-03-17T03:44:18.822196,192,Laptop,1,new,4,4,100
1769,7192,2022-03-17T03:44:18.822201,193,Camera,2,used,0,0,43
641,7193,2022-03-17T03:44:18.822207,194,TV,2,new,4,4,90
328,7194,2022-03-17T03:44:18.822213,195,TV,2,refurbished,4,4,49
1447,7195,2022-03-17T03:44:18.822218,196,Laptop,2,new,2,4,90
1785,7196,2022-03-17T03:44:18.822224,197,Smartphone,1,used,0,2,50
1646,7197,2022-03-17T03:44:18.822230,198,Speakers,1,refurbished,4,4,40
1157,7198,2022-03-17T03:44:18.822235,199,Laptop,1,like new,2,2,8
1440,7199,2022-03-17T03:44:18.822240,200,Smartphone,1,slightly damaged,2,2,25
303,7200,2022-03-17T03:44:18.822246,201,Laptop,1,like new,1,2,6
570,7201,2022-03-17T03:44:18.822251,202,Speakers,1,like new,4,2,24
183,7202,2022-03-17T03:44:18.822257,203,Laptop,1,new,4,4,87
1834,7203,2022-03-17T03:44:18.822262,204,Camera,1,slightly damaged,1,2,32
549,7204,2022-03-17T03:44:18.822268,205,Laptop,1,slightly damaged,1,0,22
1674,7205,2022-03-17T03:44:18.822274,206,Smartphone,3,like new,3,2,12
1825,7206,2022-03-17T03:44:18.822279,207,Speakers,1,like new,2,2,12
