,Age,Fare,Parch,Pclass,SibSp,Survived
0,22.0,7.25,0,3,1,0
1,38.0,71.2833,0,1,1,1
2,26.0,7.925,0,3,0,1
3,35.0,53.1,0,1,1,1
4,35.0,8.05,0,3,0,0
5,28.0,8.4583,0,3,0,0
6,54.0,51.8625,0,1,0,0
7,2.0,21.075,1,3,3,0
8,27.0,11.1333,2,3,0,1
9,14.0,30.0708,0,2,1,1
10,4.0,16.7,1,3,1,1
11,58.0,26.55,0,1,0,1
12,20.0,8.05,0,3,0,0
13,39.0,31.275,5,3,1,0
14,14.0,7.8542,0,3,0,0
15,55.0,16.0,0,2,0,1
16,2.0,29.125,1,3,4,0
17,28.0,13.0,0,2,0,1
18,31.0,18.0,0,3,1,0
19,28.0,7.225,0,3,0,1
20,35.0,26.0,0,2,0,0
21,34.0,13.0,0,2,0,1
22,15.0,8.0292,0,3,0,1
23,28.0,35.5,0,1,0,1
24,8.0,21.075,1,3,3,0
25,38.0,31.3875,5,3,1,1
26,28.0,7.225,0,3,0,0
27,19.0,263.0,2,1,3,0
28,28.0,7.8792,0,3,0,1
29,28.0,7.8958,0,3,0,0
30,40.0,27.7208,0,1,0,0
31,28.0,146.5208,0,1,1,1
32,28.0,7.75,0,3,0,1
33,66.0,10.5,0,2,0,0
34,28.0,82.1708,0,1,1,0
35,42.0,52.0,0,1,1,0
36,28.0,7.2292,0,3,0,1
37,21.0,8.05,0,3,0,0
38,18.0,18.0,0,3,2,0
39,14.0,11.2417,0,3,1,1
40,40.0,9.475,0,3,1,0
41,27.0,21.0,0,2,1,0
42,28.0,7.8958,0,3,0,0
43,3.0,41.5792,2,2,1,1
44,19.0,7.8792,0,3,0,1
45,28.0,8.05,0,3,0,0
46,28.0,15.5,0,3,1,0
47,28.0,7.75,0,3,0,1
48,28.0,21.6792,0,3,2,0
49,18.0,17.8,0,3,1,0
50,7.0,39.6875,1,3,4,0
51,21.0,7.8,0,3,0,0
52,49.0,76.7292,0,1,1,1
53,29.0,26.0,0,2,1,1
54,65.0,61.9792,1,1,0,0
55,28.0,35.5,0,1,0,1
56,21.0,10.5,0,2,0,1
57,28.5,7.2292,0,3,0,0
58,5.0,27.75,2,2,1,1
59,11.0,46.9,2,3,5,0
60,22.0,7.2292,0,3,0,0
61,38.0,80.0,0,1,0,1
62,45.0,83.475,0,1,1,0
63,4.0,27.9,2,3,3,0
64,28.0,27.7208,0,1,0,0
65,28.0,15.2458,1,3,1,1
66,29.0,10.5,0,2,0,1
67,19.0,8.1583,0,3,0,0
68,17.0,7.925,2,3,4,1
69,26.0,8.6625,0,3,2,0
70,32.0,10.5,0,2,0,0
71,16.0,46.9,2,3,5,0
72,21.0,73.5,0,2,0,0
73,26.0,14.4542,0,3,1,0
74,32.0,56.4958,0,3,0,1
75,25.0,7.65,0,3,0,0
76,28.0,7.8958,0,3,0,0
77,28.0,8.05,0,3,0,0
78,0.83,29.0,2,2,0,1
79,30.0,12.475,0,3,0,1
80,22.0,9.0,0,3,0,0
81,29.0,9.5,0,3,0,1
82,28.0,7.7875,0,3,0,1
83,28.0,47.1,0,1,0,0
84,17.0,10.5,0,2,0,1
85,33.0,15.85,0,3,3,1
86,16.0,34.375,3,3,1,0
87,28.0,8.05,0,3,0,0
88,23.0,263.0,2,1,3,1
89,24.0,8.05,0,3,0,0
90,29.0,8.05,0,3,0,0
91,20.0,7.8542,0,3,0,0
92,46.0,61.175,0,1,1,0
93,26.0,20.575,2,3,1,0
94,59.0,7.25,0,3,0,0
95,28.0,8.05,0,3,0,0
96,71.0,34.6542,0,1,0,0
97,23.0,63.3583,1,1,0,1
98,34.0,23.0,1,2,0,1
99,34.0,26.0,0,2,1,0
100,28.0,7.8958,0,3,0,0
101,28.0,7.8958,0,3,0,0
102,21.0,77.2875,1,1,0,0
103,33.0,8.6542,0,3,0,0
104,37.0,7.925,0,3,2,0
105,28.0,7.8958,0,3,0,0
106,21.0,7.65,0,3,0,1
107,28.0,7.775,0,3,0,1
108,38.0,7.8958,0,3,0,0
109,28.0,24.15,0,3,1,1
110,47.0,52.0,0,1,0,0
111,14.5,14.4542,0,3,1,0
112,22.0,8.05,0,3,0,0
113,20.0,9.825,0,3,1,0
114,17.0,14.4583,0,3,0,0
115,21.0,7.925,0,3,0,0
116,70.5,7.75,0,3,0,0
117,29.0,21.0,0,2,1,0
118,24.0,247.5208,1,1,0,0
119,2.0,31.275,2,3,4,0
120,21.0,73.5,0,2,2,0
121,28.0,8.05,0,3,0,0
122,32.5,30.0708,0,2,1,0
123,32.5,13.0,0,2,0,1
124,54.0,77.2875,1,1,0,0
125,12.0,11.2417,0,3,1,1
126,28.0,7.75,0,3,0,0
127,24.0,7.1417,0,3,0,1
128,28.0,22.3583,1,3,1,1
129,45.0,6.975,0,3,0,0
130,33.0,7.8958,0,3,0,0
131,20.0,7.05,0,3,0,0
132,47.0,14.5,0,3,1,0
133,29.0,26.0,0,2,1,1
134,25.0,13.0,0,2,0,0
135,23.0,15.0458,0,2,0,0
136,19.0,26.2833,2,1,0,1
137,37.0,53.1,0,1,1,0
138,16.0,9.2167,0,3,0,0
139,24.0,79.2,0,1,0,0
140,28.0,15.2458,2,3,0,0
141,22.0,7.75,0,3,0,1
142,24.0,15.85,0,3,1,1
143,19.0,6.75,0,3,0,0
144,18.0,11.5,0,2,0,0
145,19.0,36.75,1,2,1,0
146,27.0,7.7958,0,3,0,1
147,9.0,34.375,2,3,2,0
148,36.5,26.0,2,2,0,0
149,42.0,13.0,0,2,0,0
