user_id,email_id,unsubscribed,delivered at
1,37,no,2012-05-15
2,70,no,1972-04-23
3,27,no,2015-04-28
4,98,no,1972-03-21
5,39,no,1988-10-27
6,19,no,1992-10-24
7,80,no,2011-04-03
8,50,no,1982-02-27
9,28,no,1989-06-08
10,42,no,2000-08-20
11,84,no,1989-06-05
12,79,no,2018-02-12
13,45,no,2013-01-03
14,99,no,1979-10-27
15,93,no,1979-12-16
16,42,no,2019-07-21
17,12,no,2001-01-20
18,66,no,2000-12-16
19,19,no,2019-03-06
20,81,no,2015-03-01
21,63,no,1978-04-06
22,88,no,1982-06-24
23,98,no,1982-11-28
24,65,no,1988-05-16
25,82,no,1996-09-03
26,7,no,1980-04-28
27,42,no,1996-09-01
28,7,no,1996-02-20
29,17,no,1983-02-15
30,17,no,2009-03-06
31,56,no,1974-09-12
32,97,no,2019-12-15
33,57,no,1991-03-22
34,1,no,2005-11-28
35,25,no,1998-01-27
36,48,no,2016-12-22
37,62,no,2017-11-18
38,75,no,1982-10-26
39,7,no,1981-05-28
40,53,no,1999-10-11
41,84,no,2020-04-03
42,93,no,2004-06-08
43,1,no,2012-01-20
44,17,no,1980-02-12
45,40,no,2002-01-08
46,90,no,2018-04-02
47,82,no,2020-06-07
48,83,no,2020-10-24
49,19,no,2017-12-18
50,24,no,1979-10-27
51,92,no,2003-02-13
52,8,no,2008-11-11
53,11,no,2020-01-11
54,65,no,1983-02-21
55,95,no,1987-04-15
56,24,no,2000-02-28
57,13,no,1990-03-04
58,30,no,1984-07-14
59,52,no,1978-05-14
60,67,no,1978-01-04
61,79,no,2011-03-21
62,57,no,1971-01-06
63,34,no,2018-02-23
64,21,no,1995-12-07
65,48,no,1978-02-06
66,8,no,1981-12-26
67,4,no,2017-02-01
68,56,no,2012-02-19
69,63,no,1995-07-01
70,59,no,1982-11-12
71,5,no,1992-04-18
72,69,no,2002-11-06
73,98,no,1985-04-23
74,51,no,2007-07-29
75,53,no,2016-12-31
76,63,no,2016-10-27
77,14,no,1978-01-29
78,80,no,1995-08-15
79,13,no,1989-01-28
80,92,no,1999-09-13
81,87,no,1987-09-10
82,45,no,2003-01-16
83,87,no,1983-12-27
84,56,no,1971-05-17
85,6,no,2020-01-14
86,62,no,1996-09-02
87,31,no,1975-08-27
88,94,no,1978-01-25
89,64,no,1989-01-26
90,10,no,2012-08-02
91,2,no,2009-12-27
92,61,no,2007-01-01
93,80,no,1982-09-28
94,55,no,1980-11-05
95,95,no,2013-06-02
96,47,no,1991-04-04
97,58,no,1998-04-15
98,38,no,1991-08-20
99,94,no,2012-10-11
100,90,no,1988-01-17
101,65,no,1993-11-04
102,94,no,1975-01-08
103,70,no,2019-03-06
104,31,no,1994-03-11
105,95,no,1982-06-25
106,11,no,1993-10-30
107,72,no,2001-06-07
108,50,no,1988-12-07
109,32,no,1985-05-05
110,80,no,1974-01-29
111,11,no,2006-04-11
112,20,no,2011-12-02
113,59,no,2006-11-04
114,2,no,2001-04-10
115,47,no,2018-10-06
116,92,no,1985-03-25
117,31,no,1970-01-16
118,68,no,1974-03-27
119,43,no,1980-06-09
120,22,no,1975-05-06
121,43,no,1976-07-24
122,68,no,1991-10-10
123,40,no,2002-05-23
124,30,no,1979-06-30
125,60,no,2008-01-10
126,63,no,2005-06-10
127,57,no,1991-03-05
128,84,no,1996-06-26
129,74,no,1991-09-16
130,43,no,2006-08-23
131,33,no,1977-07-01
132,24,no,2009-10-02
133,49,no,1979-05-12
134,15,no,1971-03-08
